상품ID,상품명,기존ID,기존카테고리,추천ID,추천카테고리,상태
13236042770,봄꽃화분 16x16x17cm 가을꽃화분 몰딩 화분,,생활/건강>정원/원예용품>화분,50001790,미니화분,Fixed (Phase2)
13236042580,극세사 극세사세차도구 오토바이세차세트 세차용브러쉬 브러쉬 스펀지 도구 세차 세트 걸레 바이크 오토바,,스포츠/레저>오토바이/스쿠터>오토바이부품>기타오토바이부품,50000244.0,화장품/미용 > 뷰티소품 > 메이크업브러쉬,Mismatch
13236039974,초등학생 24색 핑크 준비물 샤프식 색연필 신학기 세트,,출산/육아>완구/인형>미술놀이>색연필,50003896.0,생활/건강 > 문구/사무용품 > 화방용품 > 색연필,Mismatch
13236038385,클린브로 세차타월 세차타올 먼지 브러쉬 세트 자동차 월 드라잉타올 워시미트 세차 차량용 걸레,,생활/건강>자동차용품>세차용품>세차타월,50003944,세차타월,Fixed (Phase2)
13236037386,차량용 디테일링 세차 브러쉬 5종 자동차 용품 브러쉬 용 휠 세트 세차 셀프 솔,,생활/건강>자동차용품>세차용품>실내세정제,50003939,차량용브러시,Fixed (Phase2)
13236036426,스타빌로 우디 3IN1 듀오 색연필 10색 세트,,출산/육아>완구/인형>미술놀이>색연필,50003896.0,생활/건강 > 문구/사무용품 > 화방용품 > 색연필,Mismatch
13236029902,탁구 라켓 쉐이크 핸드 탁구공 탁구채 세트 DD-11578,,스포츠/레저>탁구>탁구라켓,50001448,탁구라켓,Fixed (Phase2)
13236028913,스포츠 배드민턴 라켓 배드민턴채 가방 세트 DD-11447,,스포츠/레저>배드민턴>배드민턴라켓,50001349,배드민턴라켓,Fixed (Phase2)
13236028443,화분 자동급수기 식물 꽃 화분물주기 2P DD-11429,,생활/건강>정원/원예용품>물조리개,50003372,압축분무기,Fixed (Phase2)
13236028006,원예 식물 화분 급수기 원예용 자동급수기 DD-10184,,생활/건강>정원/원예용품>물조리개,50001796,원예부자재,Fixed (Phase2)
13236027801,빨대 세척솔 설거지 세척브러쉬 10p 세트 DD-09962,,생활/건강>주방용품>주방잡화>수세미,50004826,수세미,Fixed (Phase2)
13236027249,원예용 텃밭 화분 모종삽 원예도구 3종 세트 DD-10408,,생활/건강>공구>원예공구>기타원예공구,50002371,전동칫솔,Fixed (Phase2)
13236026851,공구 조립 미니 드라이버 파우치 세트 DD-10300,,생활/건강>공구>수작업공구>드라이버,50002668,드라이버,Fixed (Phase2)
13236026250,원예용 화분 분갈이 방수 매트 DD-10683,,생활/건강>정원/원예용품>원예부자재,50001796,원예부자재,Fixed (Phase2)
13236026040,화분 바닥 구멍 원형 깔망 배수망 小 10P DD-10616,,생활/건강>정원/원예용품>원예부자재,50001790,미니화분,Fixed (Phase2)
13236025845,화분 바닥 구멍 원형 깔망 배수망 中 10P DD-10616,,생활/건강>정원/원예용품>원예부자재,50001790,미니화분,Fixed (Phase2)
13236025433,원예 화분 가꾸기 미니 모종삽 3종 세트 DD-10754,,생활/건강>공구>원예공구>기타원예공구,50003371,농기구,Fixed (Phase2)
13236023760,화분 자동 급수 장치 10개입 DD-10920,,생활/건강>정원/원예용품>물조리개,50001796,원예부자재,Fixed (Phase2)
